Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
 إجتنب مصاحبة الكذاب فإن اضطررت إليه فلا تُصَدِّقْهُ.,Sentiment: neutral,"['إجتنب', 'مصاحبة', 'الكذاب', 'اضطررت', 'إليه', 'تصدقه']",ٱجتنب مصاحب كذاب ٱضطرر ألي تصدق,"['ٱجتنب', 'مصاحب', 'كذاب', 'ٱضطرر', 'ألي', 'تصدق']"
 إجهل الناس من كان على السلطان مدلاً وللإخوان مذلاً.,Sentiment: negative,"['إجهل', 'الناس', 'السلطان', 'مدلا', 'للإخوان', 'مذلا']",جهل ناس سلطان مدل إخوان مذل,"['جهل', 'ناس', 'سلطان', 'مدل', 'إخوان', 'مذل']"
 أحضر الناس جواباً من لم يغضب,Sentiment: positive,"['أحضر', 'الناس', 'جوابا', 'يغضب']",أحضر ناس جواب غضب,"['أحضر', 'ناس', 'جواب', 'غضب']"
 الأخلاق نبتة جذورها في السماء، أما أزهارها وثمارها فتعطر الأرض.,Sentiment: positive,"['الأخلاق', 'نبتة', 'جذورها', 'السماا', 'أزهارها', 'ثمارها', 'فتعطر', 'الأرض']",أخلاق نب جذور السماا إزهار ثمار تعطر أرض,"['أخلاق', 'نب', 'جذور', 'السماا', 'إزهار', 'ثمار', 'تعطر', 'أرض']"
 أذل البخل .. أعناق الرجال.,Sentiment: negative,"['أذل', 'البخل', 'أعناق', 'الرجال']",أذل بخل أعناق رجال,"['أذل', 'بخل', 'أعناق', 'رجال']"
 التربية الخلقية أهم للإنسان من خبزه وثوبه.,Sentiment: positive,"['التربية', 'الخلقية', 'أهم', 'للإنسان', 'خبزه', 'ثوبه']",تربي خلقي أهم إنسان خبز ثوب,"['تربي', 'خلقي', 'أهم', 'إنسان', 'خبز', 'ثوب']"
 أرى كل إنسان يرى عيب غيره ويعمى عن العيب الذي هو فيه.,Good Moral: غَيْر,"['إنسان', 'يرى', 'عيب', 'غيره', 'يعمى', 'العيب']",أنسأ ري عيب غير عمي عيب,"['أنسأ', 'ري', 'عيب', 'غير', 'عمي', 'عيب']"
 تفسد المؤسسات حين لا تكون قاعدتها الأخلاق.,Sentiment: negative,"['تفسد', 'الماسسات', 'تكون', 'قاعدتها', 'الأخلاق']",فسد الماسسات تكون قاعد أخلاق,"['فسد', 'الماسسات', 'تكون', 'قاعد', 'أخلاق']"
 أعلمه الرماية كل يوم فلما أشتد ساعِدُهُ رماني.,Sentiment: positive,"['أعلمه', 'الرماية', 'يوم', 'فلما', 'أشتد', 'ساعده', 'رماني']",أعلم رماي يوم فلم ٱشتد ساعد رم,"['أعلم', 'رماي', 'يوم', 'فلم', 'ٱشتد', 'ساعد', 'رم']"
 ابدؤوا بإصلاح الأخلاق فإنها أول الطريق.,Good Moral: إِصْلاح,"['ابداوا', 'بإصلاح', 'الأخلاق', 'فإنها', 'الطريق']",أبدأ إصلاح أخلاق آن طريق,"['أبدأ', 'إصلاح', 'أخلاق', 'آن', 'طريق']"
 أغنى الأغنياء من لم يكن للبخل أسيراً.,Sentiment: positive,"['أغنى', 'الأغنياا', 'يكن', 'للبخل', 'أسيرا']",أغن الأغنياا كن بخل أسير,"['أغن', 'الأغنياا', 'كن', 'بخل', 'أسير']"
 إصحَب الناس بأي خلق شئت يصحبوك.,Sentiment: neutral,"['إصحب', 'الناس', 'بأي', 'خلق', 'شئت', 'يصحبوك']",أصحب ناس باي خلق شئ صحب,"['أصحب', 'ناس', 'باي', 'خلق', 'شئ', 'صحب']"
 أقلّ الناس سروراً الحسود.,Sentiment: negative,"['الناس', 'سرورا', 'الحسود']",ناس سرور حسود,"['ناس', 'سرور', 'حسود']"
 مَن ساء خلقه عَذَّبَ نفسه.,Sentiment: negative,"['ساا', 'خلقه', 'عذب', 'نفسه']",ساا خلق عذب نفس,"['ساا', 'خلق', 'عذب', 'نفس']"
 البخيل عظيم الرواق صغير الأخلاق.,Sentiment: positive,"['البخيل', 'عظيم', 'الرواق', 'صغير', 'الأخلاق']",بخيل عظيم رواق صغير أخلاق,"['بخيل', 'عظيم', 'رواق', 'صغير', 'أخلاق']"
 إصحب الناس بمكارم الأخلاق، فإن الثواء بينهم قليل.,Sentiment: positive,"['إصحب', 'الناس', 'بمكارم', 'الأخلاق', 'الثواا', 'بينهم', 'قليل']",أصحب ناس مكارم أخلاق الثواا بين قليل,"['أصحب', 'ناس', 'مكارم', 'أخلاق', 'الثواا', 'بين', 'قليل']"
 البخيل غناه فقر ومطبخه قفر.,Sentiment: negative,"['البخيل', 'غناه', 'فقر', 'مطبخه', 'قفر']",بخيل غن فقر مطبخ قفر,"['بخيل', 'غن', 'فقر', 'مطبخ', 'قفر']"
 الاتحاد ثمرة لشجرة ذات فروع وأوراق وجذوع وجذور، هي الأخلاق الفاضلة بمراتبها.,Sentiment: positive,"['الاتحاد', 'ثمرة', 'لشجرة', 'فروع', 'أوراق', 'جذوع', 'جذور', 'الأخلاق', 'الفاضلة', 'بمراتبها']",ٱتحاد ثمر شجر فروع أوراق جذوع جذور أخلاق فاضل مراتب,"['ٱتحاد', 'ثمر', 'شجر', 'فروع', 'أوراق', 'جذوع', 'جذور', 'أخلاق', 'فاضل', 'مراتب']"
 الحاسد يرى زوال نعمتك نعمة عليه,Sentiment: positive,"['الحاسد', 'يرى', 'زوال', 'نعمتك', 'نعمة']",حاسد ري زوال نعم نعم,"['حاسد', 'ري', 'زوال', 'نعم', 'نعم']"
 من مكارم الأخلاق: صدق اللسان، وصدق البأس، وإعطاء السائل، وحسن الخلق، والمكافأة بالصنائع، وصلة الرحم. ,Good Moral: صِدْق,"['مكارم', 'الأخلاق', 'صدق', 'اللسان', 'صدق', 'البأس', 'إعطاا', 'السائل', 'حسن', 'الخلق', 'المكافأة', 'بالصنائع', 'صلة', 'الرحم']",مكارم أخلاق صدق لسان صدق إلباس إعطاا سائل حسن خلق مكافا صنائع صل رحم,"['مكارم', 'أخلاق', 'صدق', 'لسان', 'صدق', 'إلباس', 'إعطاا', 'سائل', 'حسن', 'خلق', 'مكافا', 'صنائع', 'صل', 'رحم']"
 الحسد ثِقْلٌ لا يضعه حامله,Blameworthy Moral: حَسَد,"['الحسد', 'ثقل', 'يضعه', 'حامله']",حسد ثقل ضع حامل,"['حسد', 'ثقل', 'ضع', 'حامل']"
 العشرة السيئة تفسد الأخلاق الحسنة.,Sentiment: negative,"['العشرة', 'السيئة', 'تفسد', 'الأخلاق', 'الحسنة']",عشر سيئ فسد أخلاق حسن,"['عشر', 'سيئ', 'فسد', 'أخلاق', 'حسن']"
 الحسد داء لا يبرأ منه.,Blameworthy Moral: حَسَد,"['الحسد', 'داا', 'يبرأ']",حسد داا بر,"['حسد', 'داا', 'بر']"
 يمكن للإنسان أن يدخل قلوب الآخرين دون أن ينطق بكلمه واحدة، إذ يكفيه سلوكه الناطق بالصفات الكريمة والأخلاق الحميدة.,Sentiment: positive,"['يمكن', 'للإنسان', 'يدخل', 'قلوب', 'الآخرين', 'ينطق', 'بكلمه', 'احدة', 'يكفيه', 'سلوكه', 'الناطق', 'بالصفات', 'الكريمة', 'الأخلاق', 'الحميدة']",مكن إنسان دخل قلوب آخر نطق كلم أحد كفي سلوك ناطق صف كريم أخلاق حميدة,"['مكن', 'إنسان', 'دخل', 'قلوب', 'آخر', 'نطق', 'كلم', 'أحد', 'كفي', 'سلوك', 'ناطق', 'صف', 'كريم', 'أخلاق', 'حميدة']"
 الحسد والنفاق والكذب أثافي الذل.,Blameworthy Moral: حَسَد,"['الحسد', 'النفاق', 'الكذب', 'أثافي', 'الذل']",حسد نفاق كذب أثافي ذل,"['حسد', 'نفاق', 'كذب', 'أثافي', 'ذل']"
 الخاذل أخو القاتل.,Sentiment: negative,"['الخاذل', 'القاتل']",الخاذل قاتل,"['الخاذل', 'قاتل']"
 الشرير لا يظن بالناس خيراً.,Sentiment: negative,"['الشرير', 'يظن', 'بالناس', 'خيرا']",شرير ظن ناس خير,"['شرير', 'ظن', 'ناس', 'خير']"
 الشماتة بالمنكوب لؤم.,Blameworthy Moral: شَمات,"['الشماتة', 'بالمنكوب']",شمات منكوب,"['شمات', 'منكوب']"
 الطبع غلب التطبّع.,Sentiment: positive,"['الطبع', 'غلب', 'التطبع']",طبع غلب التطبع,"['طبع', 'غلب', 'التطبع']"
 العديم من إحتاج من اللئيم.,Sentiment: negative,"['العديم', 'إحتاج', 'اللئيم']",عديم ٱحتاج لئيم,"['عديم', 'ٱحتاج', 'لئيم']"
 الغضب صدأ العقل.,Blameworthy Moral: غَضَب,"['الغضب', 'صدأ', 'العقل']",غضب صد عقل,"['غضب', 'صد', 'عقل']"
 المزح يجلب الشر صغيراً والحرب كبيرة.,Sentiment: negative,"['المزح', 'يجلب', 'الشر', 'صغيرا', 'الحرب', 'كبيرة']",مزح جلب شر صغير حرب كبير,"['مزح', 'جلب', 'شر', 'صغير', 'حرب', 'كبير']"
 المكر حيلة من لا حيلة له.,Sentiment: negative,"['المكر', 'حيلة', 'حيلة']",مكر حيل حيل,"['مكر', 'حيل', 'حيل']"
 إن الذليل من دل في سلطانه.,Sentiment: negative,"['الذليل', 'دل', 'سلطانه']",ذليل دل سلطان,"['ذليل', 'دل', 'سلطان']"
 إن الشباب والفراغ والْجِدَة مفسدة للمرء أي مفسدة.,Sentiment: negative,"['الشباب', 'الفراغ', 'الجدة', 'مفسدة', 'للمرا', 'مفسدة']",شباب فراغ جد مفسد مرآ مفسد,"['شباب', 'فراغ', 'جد', 'مفسد', 'مرآ', 'مفسد']"
 إن الغريق بكل حبل يعلق.,Sentiment: negative,"['الغريق', 'بكل', 'حبل', 'يعلق']",غريق بكل حبل علق,"['غريق', 'بكل', 'حبل', 'علق']"
 إن كنت كذوباً فكن ذكوراً.,Sentiment: positive,"['كنت', 'كذوبا', 'فكن', 'ذكورا']",كن كذوب كن ذكور,"['كن', 'كذوب', 'كن', 'ذكور']"
 إنك تضرب في حديد بارد.,Sentiment: neutral,"['تضرب', 'حديد', 'بارد']",ضرب حديد بارد,"['ضرب', 'حديد', 'بارد']"
 أول الغضب جنون وآخره ندم.,Blameworthy Moral: غَضَب,"['الغضب', 'جنون', 'آخره', 'ندم']",غضب جنون آخر ندم,"['غضب', 'جنون', 'آخر', 'ندم']"
 إياك عني واسمعي يا جارة.,Sentiment: negative,"['اسمعي', 'جارة']",اسمعي جار,"['اسمعي', 'جار']"
 بئس الشعار الحسد.,Blameworthy Moral: حَسَد,"['الشعار', 'الحسد']",شعار حسد,"['شعار', 'حسد']"
 بدن فاجر وقلب كافر.,Sentiment: negative,"['بدن', 'فاجر', 'قلب', 'كافر']",بد فاجر قلب كافر,"['بد', 'فاجر', 'قلب', 'كافر']"
 بغاث الطير أكثرها فراخاً.,Sentiment: positive,"['بغاث', 'الطير', 'أكثرها', 'فراخا']",بغاث طير أكثر فراخ,"['بغاث', 'طير', 'أكثر', 'فراخ']"
 حاسد النعمة لا يرضيه إلّا زوالها.,Sentiment: positive,"['حاسد', 'النعمة', 'يرضيه', 'زوالها']",حاسد نعم رضي زوال,"['حاسد', 'نعم', 'رضي', 'زوال']"
 حبل الكذب قصير.,Blameworthy Moral: كِذْب,"['حبل', 'الكذب', 'قصير']",حبل كذب قصير,"['حبل', 'كذب', 'قصير']"
 خير الأصدقاء من ترك المزاح.,Sentiment: positive,"['خير', 'الأصدقاا', 'المزاح']",خير الأصدقاا مزاح,"['خير', 'الأصدقاا', 'مزاح']"
 ذُلَّ من يغيظ الذليل بعيش.,Blameworthy Moral: ذُلّ,"['ذل', 'يغيظ', 'الذليل', 'بعيش']",ذل غيظ ذليل عيش,"['ذل', 'غيظ', 'ذليل', 'عيش']"
 ريح صيف وطارق طيف.,Sentiment: negative,"['ريح', 'صيف', 'طارق', 'طيف']",ريح صيف طارق طيف,"['ريح', 'صيف', 'طارق', 'طيف']"
 سائل البخيل محروم وماله مكتوم.,Sentiment: negative,"['سائل', 'البخيل', 'محروم', 'ماله', 'مكتوم']",سائل بخيل محروم مآل مكتوم,"['سائل', 'بخيل', 'محروم', 'مآل', 'مكتوم']"
 سكت دهراً ونطق كفراً.,Sentiment: negative,"['سكت', 'دهرا', 'نطق', 'كفرا']",سك دهر نطق كفر,"['سك', 'دهر', 'نطق', 'كفر']"
 شر الحديث الكذب.,Blameworthy Moral: كِذْب,"['شر', 'الحديث', 'الكذب']",شر حديث كذب,"['شر', 'حديث', 'كذب']"
 شر السمك يكدر الماء.,Sentiment: negative,"['شر', 'السمك', 'يكدر', 'الماا']",شر سمك كدر الماا,"['شر', 'سمك', 'كدر', 'الماا']"
 شر الناس من لا يبالي أن يراه الناس مسيئاً.,Sentiment: negative,"['شر', 'الناس', 'يبالي', 'يراه', 'الناس', 'مسيئا']",شر ناس بالي رأ ناس مسيئ,"['شر', 'ناس', 'بالي', 'رأ', 'ناس', 'مسيئ']"
 قد ينبت الشوك وسط الزهور.,Sentiment: positive,"['ينبت', 'الشوك', 'سط', 'الزهور']",نبت شوك سط زهور,"['نبت', 'شوك', 'سط', 'زهور']"
 كثرة الضحك تذهب الهيبة.,Sentiment: negative,"['كثرة', 'الضحك', 'تذهب', 'الهيبة']",كثر ضحك ذهب هيب,"['كثر', 'ضحك', 'ذهب', 'هيب']"
 كلام كالعسل ووغزٌ كالأسل.,Sentiment: negative,"['كلام', 'كالعسل', 'وغز', 'كالأسل']",كلام عسل وغز أسل,"['كلام', 'عسل', 'وغز', 'أسل']"
 لا تمدّن إلى المعالي يداً قصرت عن المعروف.,Sentiment: positive,"['تمدن', 'المعالي', 'يدا', 'قصرت', 'المعروف']",تمدن معالي يد قصر معروف,"['تمدن', 'معالي', 'يد', 'قصر', 'معروف']"
 لا خير فيمن لا يدوم له أحد.,Sentiment: positive,"['خير', 'فيمن', 'يدوم']",خير يمن دوم,"['خير', 'يمن', 'دوم']"
 لا رأي لمن لا يطاع.,Sentiment: negative,"['رأي', 'يطاع']",راي طاع,"['راي', 'طاع']"
 لا رأي لكذوب.,Sentiment: negative,"['رأي', 'لكذوب']",راي كذوب,"['راي', 'كذوب']"
 لا راحة لحسود.,Sentiment: negative,"['راحة', 'لحسود']",راح حسود,"['راح', 'حسود']"
 لا في العير ولا في النفير.,Sentiment: negative,"['العير', 'النفير']",عير نفير,"['عير', 'نفير']"
 لا مروءة لبخيل.,Sentiment: negative,"['مرواة', 'لبخيل']",مرواة بخيل,"['مرواة', 'بخيل']"
 لا يثمر الشوك العنب.,Sentiment: negative,"['يثمر', 'الشوك', 'العنب']",ثمر شوك عنب,"['ثمر', 'شوك', 'عنب']"
 لا يحمل الحقد من تعلو به الرتب.,Blameworthy Moral: الحقد,"['يحمل', 'الحقد', 'تعلو', 'الرتب']",حمل حقد علو رتب,"['حمل', 'حقد', 'علو', 'رتب']"
 لا يرضى عنك الحسود حتى تموت.,Sentiment: negative,"['يرضى', 'عنك', 'الحسود', 'تموت']",رضي عن حسود موت,"['رضي', 'عن', 'حسود', 'موت']"
 لا يشكر الناس من لا يشكر الله.,Sentiment: negative,"['يشكر', 'الناس', 'يشكر', 'الله']",شكر ناس شكر الله,"['شكر', 'ناس', 'شكر', 'الله']"
 لله در الحسد ما أعدله بدأ بصاحبه فقتله.,Blameworthy Moral: حَسَد,"['لله', 'در', 'الحسد', 'أعدله', 'بدأ', 'بصاحبه', 'فقتله']",لله در حسد أعدل بد صاحب قتل,"['لله', 'در', 'حسد', 'أعدل', 'بد', 'صاحب', 'قتل']"
 ليس للحاسد إلا ما حسد.,Blameworthy Moral: حَسَد,"['للحاسد', 'حسد']",حاسد حسد,"['حاسد', 'حسد']"
 من أطاع غضبه أضاع أدبه.,Blameworthy Moral: غَضَب,"['أطاع', 'غضبه', 'أضاع', 'أدبه']",أطاع غضب أضاع أدب,"['أطاع', 'غضب', 'أضاع', 'أدب']"
