Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
 سيد القوم خادمهم.,Sentiment: positive,"['سيد', 'القوم', 'خادمهم']",سيد قوم خادم,"['سيد', 'قوم', 'خادم']","['سَيِّد', 'قَوْم', 'خادِم']",سَيِّد قَوْم خادِم
 شكرت جميل صنعكم بدمعي ودمع العين مقياس الشعور.,Sentiment: positive,"['شكرت', 'جميل', 'صنعكم', 'بدمعي', 'دمع', 'العين', 'مقياس', 'الشعور']",شكر جميل صنع دمع دمع عين مقياس شعور,"['شكر', 'جميل', 'صنع', 'دمع', 'دمع', 'عين', 'مقياس', 'شعور']","['شُكْر', 'جَمِيل', 'صَنَع', 'دَمَع', 'دَمَع', 'عَيْن', 'مِقْياس', 'شُعُور']",شُكْر جَمِيل صَنَع دَمَع دَمَع عَيْن مِقْياس شُعُور
 صلاح أمرك بالأخلاق مرجعه فَقَوِّم النفس بالأخلاق تستقم.,Sentiment: positive,"['صلاح', 'أمرك', 'بالأخلاق', 'مرجعه', 'فقوم', 'النفس', 'بالأخلاق', 'تستقم']",صلاح آمر أخلاق مرجع فقوم نفس أخلاق ستقم,"['صلاح', 'آمر', 'أخلاق', 'مرجع', 'فقوم', 'نفس', 'أخلاق', 'ستقم']","['صُلّاح', 'آمِر', 'أَخْلاق', 'مَرْجِع', 'فُقُوم', 'نَفَس', 'أَخْلاق', 'قِم']",صُلّاح آمِر أَخْلاق مَرْجِع فُقُوم نَفَس أَخْلاق قِم
 عامل الناس برأي رفيق والقِ من تلقى بوجه طليق.,Sentiment: neutral,"['عامل', 'الناس', 'برأي', 'رفيق', 'الق', 'تلقى', 'بوجه', 'طليق']",عامل ناس برا رفيق ألق تلقى وجه طليق,"['عامل', 'ناس', 'برا', 'رفيق', 'ألق', 'تلقى', 'وجه', 'طليق']","['عامِل', 'ناس', 'بِرّ', 'رَفِيق', 'أَلَق', 'تَلَقَّى', 'وَجَّه', 'طَلِيق']",عامِل ناس بِرّ رَفِيق أَلَق تَلَقَّى وَجَّه طَلِيق
 عامل الناس بما تحب أن يعاملوك به.,Sentiment: positive,"['عامل', 'الناس', 'تحب', 'يعاملوك']",عامل ناس حب عامل,"['عامل', 'ناس', 'حب', 'عامل']","['عامِل', 'ناس', 'حُبّ', 'عامِل']",عامِل ناس حُبّ عامِل
 فرط الأنس مكسبة لقرناء السوء.,Sentiment: negative,"['فرط', 'الأنس', 'مكسبة', 'لقرناا', 'السوا']",فرط أنس مكسب لقرناا ألس,"['فرط', 'أنس', 'مكسب', 'لقرناا', 'ألس']","['فَرَط', 'آنَس', 'مَكْسِب', 'لقرناا', 'أَلَّس']",فَرَط آنَس مَكْسِب لقرناا أَلَّس
 فلان دُرَّةُ التاج وواسطة العقد.,Sentiment: negative,"['درة', 'التاج', 'واسطة', 'العقد']",در تاج واسط عقد,"['در', 'تاج', 'واسط', 'عقد']","['دَرّ', 'تاج', 'سْط', 'عَقْد']",دَرّ تاج سْط عَقْد
 قلب المؤمن دليله.,Sentiment: positive,"['قلب', 'المامن', 'دليله']",قلب مأمن دليل,"['قلب', 'مأمن', 'دليل']","['قَلَّب', 'مَأْمَن', 'دَلِيل']",قَلَّب مَأْمَن دَلِيل
 قليل في الجيب خير من كثير في الغيب.,Sentiment: positive,"['قليل', 'الجيب', 'خير', 'كثير', 'الغيب']",قليل جيب خير كثير غيب,"['قليل', 'جيب', 'خير', 'كثير', 'غيب']","['قَلِيل', 'جَيْب', 'خَيْر', 'كَثِير', 'غُيَّب']",قَلِيل جَيْب خَيْر كَثِير غُيَّب
 كل امرئ بما يحسنه.,Sentiment: positive,"['امرئ', 'يحسنه']",امرئ حسن,"['امرئ', 'حسن']","['اِمْرِئ', 'حَسَن']",اِمْرِئ حَسَن
 إن السؤال يُذِلُّ قوماً كذلك يعز قوم بالعطاء.,Good Moral: عِزّ,"['الساال', 'يذل', 'قوما', 'يعز', 'قوم', 'بالعطاا']",سأال ذل قوم عز قوم بالعطاا,"['سأال', 'ذل', 'قوم', 'عز', 'قوم', 'بالعطاا']","['سَأّال', 'ذُلّ', 'قَوْم', 'عِزّ', 'قَوْم', 'بالعطاا']",سَأّال ذُلّ قَوْم عِزّ قَوْم بالعطاا
 لا تشن وجه العفو بالتأنيب.,Sentiment: negative,"['تشن', 'جه', 'العفو', 'بالتأنيب']",شن جه عفو تأنيب,"['شن', 'جه', 'عفو', 'تأنيب']","['شَنّ', 'جه', 'عَفْو', 'تَأْنِيب']",شَنّ جه عَفْو تَأْنِيب
 لا تكن حلواً فتؤكل ولا مراً فترمى.,Sentiment: neutral,"['تكن', 'حلوا', 'فتاكل', 'مرا', 'فترمى']",كن حل تأكل مر رم,"['كن', 'حل', 'تأكل', 'مر', 'رم']","['كُن', 'حَلّ', 'تَأَكُّل', 'مَرّ', 'رَمّ']",كُن حَلّ تَأَكُّل مَرّ رَمّ
 لا تمازح الشريف فيحنق عليك ولا الدنيء فيتجرأ عليك.,Sentiment: neutral,"['تمازح', 'الشريف', 'فيحنق', 'الدنيا', 'فيتجرأ']",مازح شريف حنق دنيا تجر,"['مازح', 'شريف', 'حنق', 'دنيا', 'تجر']","['مازِح', 'شَرِيف', 'حَنِق', 'دَنَّي', 'تَجَّر']",مازِح شَرِيف حَنِق دَنَّي تَجَّر
 لا تنه عن خلق وتأتي مثله عار عليك إذا فعلت عظيم.,Sentiment: negative,"['تنه', 'خلق', 'تأتي', 'مثله', 'عار', 'فعلت', 'عظيم']",تن خلق تأتى مثل عار فعل عظيم,"['تن', 'خلق', 'تأتى', 'مثل', 'عار', 'فعل', 'عظيم']","['تُنّ', 'خَلَّق', 'تَأَتَّى', 'مَثَل', 'عار', 'فِعْل', 'عَظِيم']",تُنّ خَلَّق تَأَتَّى مَثَل عار فِعْل عَظِيم
 لا خير فيمن لا يَأْلَفُ ولا يؤلف.,Sentiment: positive,"['خير', 'فيمن', 'يألف', 'يالف']",خير يمن ألف ألف,"['خير', 'يمن', 'ألف', 'ألف']","['خَيْر', 'يَمَّن', 'أَلِف', 'أَلِف']",خَيْر يَمَّن أَلِف أَلِف
 لكل مقام مقال ولكل زمان رجال.,Sentiment: positive,"['لكل', 'مقام', 'مقال', 'لكل', 'زمان', 'رجال']",كل مقام مقال كل زمان رجال,"['كل', 'مقام', 'مقال', 'كل', 'زمان', 'رجال']","['كُلّ', 'مَقامّ', 'مُقال', 'كُلّ', 'زَمان', 'رِجال']",كُلّ مَقامّ مُقال كُلّ زَمان رِجال
 للشدائد تُدَّخَرُ الرجال.,Sentiment: positive,"['للشدائد', 'تدخر', 'الرجال']",شدائد دخر رجال,"['شدائد', 'دخر', 'رجال']","['شَدائِد', 'دخر', 'رِجال']",شَدائِد دخر رِجال
 لو كان الكذب ينجي فالصدق أنجى.,Blameworthy Moral: كِذْب,"['الكذب', 'ينجي', 'فالصدق', 'أنجى']",كذب نجى صدق أنجى,"['كذب', 'نجى', 'صدق', 'أنجى']","['كَذَّب', 'نَجَّى', 'صِدْق', 'أَنْجَى']",كَذَّب نَجَّى صِدْق أَنْجَى
 ما كل من قال قولاً وفى.,Sentiment: neutral,"['قال', 'قولا', 'فى']",قال قول في,"['قال', 'قول', 'في']","['قال', 'قَوْل', 'فِي']",قال قَوْل فِي
 مِن حسن إسلام المرء تَرْكُهُ ما لا يعنيه.,Sentiment: negative,"['حسن', 'إسلام', 'المرا', 'تركه', 'يعنيه']",حسن إسلام مرآ ترك عني,"['حسن', 'إسلام', 'مرآ', 'ترك', 'عني']","['حَسَن', 'إِسْلام', 'مَرّ', 'تَرَك', 'عَن']",حَسَن إِسْلام مَرّ تَرَك عَن
 معاتبة الاخوان خير من فقدهم.,Sentiment: negative,"['معاتبة', 'الاخوان', 'خير', 'فقدهم']",معاتب أخو خير فقد,"['معاتب', 'أخو', 'خير', 'فقد']","['معاتب', 'أَخُو', 'خَيْر', 'فَقْد']",معاتب أَخُو خَيْر فَقْد
 من تواضع لله رفعه.,Sentiment: positive,"['تواضع', 'لله', 'رفعه']",تواضع لله رفع,"['تواضع', 'لله', 'رفع']","['تَواضَع', 'لِلّٰهِ', 'رَفَع']",تَواضَع لِلّٰهِ رَفَع
 من حسن خُلُقُه استراح وأراح.,Sentiment: positive,"['حسن', 'خلقه', 'استراح', 'أراح']",حسن خلق ٱستراح أراح,"['حسن', 'خلق', 'ٱستراح', 'أراح']","['حَسَن', 'خَلَّق', 'ٱِسْتَراح', 'أَراح']",حَسَن خَلَّق ٱِسْتَراح أَراح
 مِن حسن خُلقُه وجب حقُّه.,Sentiment: positive,"['حسن', 'خلقه', 'جب', 'حقه']",حسن خلق جب حق,"['حسن', 'خلق', 'جب', 'حق']","['حَسَن', 'خَلَّق', 'جُبّ', 'حَقّ']",حَسَن خَلَّق جُبّ حَقّ
 مَن شابه أباه فما ظلم.,Blameworthy Moral: ظُلْم,"['شابه', 'أباه', 'فما', 'ظلم']",شاب آب فم ظلم,"['شاب', 'آب', 'فم', 'ظلم']","['شابّ', 'آب', 'فَم', 'ظُلْم']",شابّ آب فَم ظُلْم
 مَن شَبَّ على شيء شاب عليه.,Sentiment: negative,"['شب', 'شيا', 'شاب']",شب شي شاب,"['شب', 'شي', 'شاب']","['شَبّ', 'شَيّ', 'شابّ']",شَبّ شَيّ شابّ
 من عرف نفسه عرف ربه.,Sentiment: positive,"['عرف', 'نفسه', 'عرف', 'ربه']",عرف نفس عرف رب,"['عرف', 'نفس', 'عرف', 'رب']","['عُرْف', 'نَفَس', 'عُرْف', 'رَبّ']",عُرْف نَفَس عُرْف رَبّ
 من لم يقنع باليسير لم يكتفِ بالكثير.,Sentiment: negative,"['يقنع', 'باليسير', 'يكتف', 'بالكثير']",قنع يسير كتف كثير,"['قنع', 'يسير', 'كتف', 'كثير']","['قُنُع', 'يَسِير', 'كَتِف', 'كَثِير']",قُنُع يَسِير كَتِف كَثِير
 نعم الثوب العافية إذا انسدل على الكفاف.,Sentiment: positive,"['الثوب', 'العافية', 'انسدل', 'الكفاف']",ثوب عافي ٱنسدل كفاف,"['ثوب', 'عافي', 'ٱنسدل', 'كفاف']","['ثَوْب', 'عاف', 'ٱِنْسَدَل', 'كَفاف']",ثَوْب عاف ٱِنْسَدَل كَفاف
 نعم العون على المروءة المال.,Sentiment: positive,"['العون', 'المرواة', 'المال']",عون المرواة مآل,"['عون', 'المرواة', 'مآل']","['عَوْن', 'المرواة', 'مال']",عَوْن المرواة مال
 نعم المؤَدِّبُ الدهر.,Sentiment: positive,"['المادب', 'الدهر']",مآدب دهر,"['مآدب', 'دهر']","['مَآدِب', 'دَهْر']",مَآدِب دَهْر
 نعم حاجب الشهوات غض البصر.,Sentiment: neutral,"['حاجب', 'الشهوات', 'غض', 'البصر']",حاجب شهو غض بصر,"['حاجب', 'شهو', 'غض', 'بصر']","['حاجِب', 'شهو', 'غَضّ', 'بَصُر']",حاجِب شهو غَضّ بَصُر
 هذا الشبل من ذاك الأسد.,Sentiment: positive,"['الشبل', 'الأسد']",شبل أسد,"['شبل', 'أسد']","['شِبْل', 'أَسَد']",شِبْل أَسَد
 هي الأخلاق تنبت كالنبات إذا سقيت بماء المكرمات.,Sentiment: positive,"['الأخلاق', 'تنبت', 'كالنبات', 'سقيت', 'بماا', 'المكرمات']",أخلاق نبت نبات سقي بماا مكرم,"['أخلاق', 'نبت', 'نبات', 'سقي', 'بماا', 'مكرم']","['أَخْلاق', 'نَب', 'نَبَأ', 'سَقْي', 'بماا', 'مَكْرَم']",أَخْلاق نَب نَبَأ سَقْي بماا مَكْرَم
 هيهات تكتم في الظلام مشاعل.,Sentiment: negative,"['تكتم', 'الظلام', 'مشاعل']",تكتم ظلام مشاعل,"['تكتم', 'ظلام', 'مشاعل']","['تَكَتُّم', 'ظَلام', 'مَشاعِل']",تَكَتُّم ظَلام مَشاعِل
 إنما الأمم الأخلاق ما بقيت فإنّ هم ذهبت أخلاقهم ذهبوا.,Sentiment: neutral,"['الأمم', 'الأخلاق', 'بقيت', 'ذهبت', 'أخلاقهم', 'ذهبوا']",أمم أخلاق بقي ذهب أخلاق ذهب,"['أمم', 'أخلاق', 'بقي', 'ذهب', 'أخلاق', 'ذهب']","['أُمَم', 'أَخْلاق', 'بَقّ', 'ذَهَب', 'أَخْلاق', 'ذَهَب']",أُمَم أَخْلاق بَقّ ذَهَب أَخْلاق ذَهَب
 إني وإن كنت الأخير زمانه لآت بما لم تستطعه الأوائل.,Sentiment: neutral,"['كنت', 'الأخير', 'زمانه', 'لآت', 'تستطعه', 'الأوائل']",كن أخير زمان آت تستطعه أوائل,"['كن', 'أخير', 'زمان', 'آت', 'تستطعه', 'أوائل']","['كُن', 'أَخْيَر', 'زَمان', 'آت', 'تستطعه', 'أَوائِل']",كُن أَخْيَر زَمان آت تستطعه أَوائِل
 أي الناس ليس به عيوب.,Sentiment: positive,"['الناس', 'عيوب']",ناس عيوب,"['ناس', 'عيوب']","['ناس', 'عُيُوب']",ناس عُيُوب
 تأتي على قدر الكرام المكارم.,Sentiment: positive,"['تأتي', 'قدر', 'الكرام', 'المكارم']",تأتى قدر كرام مكارم,"['تأتى', 'قدر', 'كرام', 'مكارم']","['تَأَتَّى', 'قَدَر', 'كِرام', 'مَكارِم']",تَأَتَّى قَدَر كِرام مَكارِم
 تعظم في عين الصغير صغارها وتصغر في عين العظيم العظائم.,Sentiment: positive,"['تعظم', 'الصغير', 'صغارها', 'تصغر', 'العظيم', 'العظائم']",تعظم صغير صغار صغر عظيم عظائم,"['تعظم', 'صغير', 'صغار', 'صغر', 'عظيم', 'عظائم']","['تَعَظَّم', 'صَغِير', 'صِغار', 'صِغَر', 'عَظِيم', 'عَظائِم']",تَعَظَّم صَغِير صِغار صِغَر عَظِيم عَظائِم
 مهما يكن عند أمرئ من خَليقَةٍ وإن خالها تَخْفَى على الناس تُعْلَمِ.,Sentiment: positive,"['يكن', 'أمرئ', 'خليقة', 'خالها', 'تخفى', 'الناس', 'تعلم']",كن امرئ خليق خال تخفي ناس تعلم,"['كن', 'امرئ', 'خليق', 'خال', 'تخفي', 'ناس', 'تعلم']","['كُن', 'اِمْرِئ', 'خَلِيق', 'خال', 'تَخَفِّي', 'ناس', 'تَعَلُّم']",كُن اِمْرِئ خَلِيق خال تَخَفِّي ناس تَعَلُّم
 ليست الأخلاق أن تكون صالحا فحسب، بل أن تكون صالحاً لشيء ما.,Sentiment: positive,"['الأخلاق', 'تكون', 'صالحا', 'فحسب', 'تكون', 'صالحا', 'لشيا']",أخلاق تكون صالح فحسب تكون صالح لشيا,"['أخلاق', 'تكون', 'صالح', 'فحسب', 'تكون', 'صالح', 'لشيا']","['أَخْلاق', 'تَكَوَّن', 'صالِح', 'فَحَسْب', 'تَكَوَّن', 'صالِح', 'لشيا']",أَخْلاق تَكَوَّن صالِح فَحَسْب تَكَوَّن صالِح لشيا
 إجتنب مصاحبة الكذاب فإن اضطررت إليه فلا تُصَدِّقْهُ.,Sentiment: neutral,"['إجتنب', 'مصاحبة', 'الكذاب', 'اضطررت', 'إليه', 'تصدقه']",ٱجتنب مصاحب كذاب ٱضطرر ألي تصدق,"['ٱجتنب', 'مصاحب', 'كذاب', 'ٱضطرر', 'ألي', 'تصدق']","['ٱِجْتَنَب', 'مصاحب', 'كَذّاب', 'ٱضطرر', 'آل', 'تَصَدَّق']",ٱِجْتَنَب مصاحب كَذّاب ٱضطرر آل تَصَدَّق
 إجهل الناس من كان على السلطان مدلاً وللإخوان مذلاً.,Sentiment: negative,"['إجهل', 'الناس', 'السلطان', 'مدلا', 'للإخوان', 'مذلا']",جهل ناس سلطان مدل إخوان مذل,"['جهل', 'ناس', 'سلطان', 'مدل', 'إخوان', 'مذل']","['جَهَّل', 'ناس', 'سُلْطان', 'مُدِلّ', 'أَخَو', 'مَذِل']",جَهَّل ناس سُلْطان مُدِلّ أَخَو مَذِل
 أحضر الناس جواباً من لم يغضب,Sentiment: positive,"['أحضر', 'الناس', 'جوابا', 'يغضب']",أحضر ناس جواب غضب,"['أحضر', 'ناس', 'جواب', 'غضب']","['أَحْضَر', 'ناس', 'جَواب', 'غَضِب']",أَحْضَر ناس جَواب غَضِب
 الأخلاق نبتة جذورها في السماء، أما أزهارها وثمارها فتعطر الأرض.,Sentiment: positive,"['الأخلاق', 'نبتة', 'جذورها', 'السماا', 'أزهارها', 'ثمارها', 'فتعطر', 'الأرض']",أخلاق نب جذور السماا إزهار ثمار تعطر أرض,"['أخلاق', 'نب', 'جذور', 'السماا', 'إزهار', 'ثمار', 'تعطر', 'أرض']","['أَخْلاق', 'نب', 'جُذُور', 'السماا', 'إِزْهار', 'ثِمار', 'تَعَطَّر', 'أَرَّض']",أَخْلاق نب جُذُور السماا إِزْهار ثِمار تَعَطَّر أَرَّض
